-10	-0.8159	-0.0634	-0.068066968
-9.5	-0.7585	-0.0636	-0.067938639
-9	-0.7011	-0.0638	-0.06781031
-8.5	-0.6437	-0.064	-0.06768198
-8	-0.5862	-0.0642	-0.067553079
-7.5	-0.5287	-0.0644	-0.067424177
-7	-0.4711	-0.0646	-0.067294704
-6.5	-0.4135	-0.0648	-0.06716523
-6	-0.3559	-0.065	-0.067035757
-5.5	-0.2982	-0.0653	-0.067005711
-5	-0.2406	-0.0655	-0.066876238
-4.5	-0.1829	-0.0658	-0.066846193
-4	-0.1252	-0.066	-0.066716147
-3.5	-0.0674	-0.0663	-0.06668553
-3	-0.0097	-0.0666	-0.066655484
-2.5	0.048	-0.0669	-0.066625439
-2	0.1057	-0.0672	-0.066595393
-1.5	0.1635	-0.0675	-0.066564776
-1	0.2212	-0.0678	-0.06653473
-0.5	0.2788	-0.0681	-0.066505257
0	0.3365	-0.0684	-0.066475212
0.5	0.3941	-0.0688	-0.066545738
1	0.4517	-0.0691	-0.066516265
1.5	0.5093	-0.0695	-0.066586791
2	0.5668	-0.0698	-0.06655789
2.5	0.6243	-0.0702	-0.066628988
3	0.6818	-0.0706	-0.066700087
3.5	0.7392	-0.0709	-0.066671758
4	0.7965	-0.0713	-0.066744
4.5	0.8538	-0.0717	-0.066816243
5	0.911	-0.0721	-0.066889057
5.5	0.9681	-0.0725	-0.066962444
6	1.0252	-0.073	-0.06713583
6.5	1.0822	-0.0734	-0.067209789
7	1.1391	-0.0738	-0.06728432
7.5	1.1959	-0.0743	-0.067459422
8	1.2526	-0.0747	-0.067535097
8.5	1.3092	-0.0751	-0.067611343
9	1.3658	-0.0756	-0.06778759
9.5	1.4222	-0.0761	-0.06796498
10	1.4785	-0.0765	-0.068042943
